idGenerator,attVector,idStage,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200
1,Inflow,4,326.0431183,469.1694874,123.8275606,267.9509006,223.529017,244.0316975,226.6973205,638.7263555,264.4326262,181.5406272,162.5148267,497.0400972,364.9656951,245.3344679,245.8469273,357.1972259,162.1697328,251.2746412,287.8776068,325.1634122,409.9597565,178.9480254,145.0636898,164.6391166,224.750559,72.05226774,256.4341721,302.1344482,157.9011594,168.1068492,350.3059792,171.8479751,356.6553109,108.5985782,227.6173542,155.0493765,232.2963643,191.9672582,160.6254715,261.1063677,285.7187825,173.046009,244.0191899,455.5697833,122.5135058,243.452843,143.3555192,323.3588825,257.5569759,606.803361,533.5681768,206.2371628,117.3564052,307.3213728,206.56395,127.2201398,304.9275919,236.7567674,248.2997552,549.4409087,330.569296,300.091696,115.436486,117.7175215,270.2635297,384.0956047,146.8380599,160.3558855,224.1811229,228.3199679,291.0003736,193.1913205,784.1714489,169.4606923,384.623825,264.6009321,524.2975194,205.5885221,82.21287038,393.9727848,294.5010314,156.4467526,480.2505518,97.81267211,190.8445038,536.3305425,441.8436071,246.4765005,166.110343,425.0578861,320.4885254,197.9470764,226.8111045,292.7716469,393.5981272,137.075181,343.1576128,511.842239,313.7775584,264.2569906,262.4968127,189.1339455,174.493291,247.3218156,180.9977105,193.3487201,199.7709402,202.5428579,404.5458594,231.5254016,180.9566959,317.6563714,301.8097183,387.0110859,493.1571773,273.5111261,509.4254755,367.8115844,200.7708629,326.9188824,122.5975207,271.9289961,192.0656559,245.3683381,251.55131,346.3752147,139.8274829,276.1527426,960.7437106,114.0919963,230.3377674,243.3129698,614.0307617,223.1141269,350.4777764,127.2571186,198.8925657,249.4004541,251.4385532,409.5144103,257.0718441,151.9095799,500.8889516,213.1249262,184.6152799,155.1085781,298.0006299,400.7910232,400.318894,461.7735675,286.1062949,426.2364659,140.3100417,183.7188363,315.6163232,174.6657996,169.6666737,508.1536855,379.5248328,273.0497907,399.6427015,246.967155,194.8717513,233.6816822,296.9212748,123.2725075,228.4157779,354.5564527,174.2529921,157.243165,169.5110308,268.0850416,139.2535184,289.9843371,416.9013008,343.3932211,352.0985638,233.6723969,318.6116338,200.8398677,369.7923815,395.8989982,102.4662104,153.4681753,797.9197792,302.2243916,342.2684325,415.689061,296.7831209,509.9826226,305.8776227,182.9156299,219.0016118,289.3459654,293.4136101,358.1466864,318.1775219,116.7005299,318.8871074,335.0079669
1,Inflow,5,220.8589758,153.2662829,150.1333379,227.6720582,212.0006675,358.0386535,263.3933739,323.6804822,286.8373055,156.8496377,184.4856468,423.5160203,384.9914886,236.0525002,255.9129771,311.8657609,269.4791206,140.4790273,114.1991655,302.5367458,327.4124509,184.1456086,179.5601016,150.0991236,138.9200948,111.4888352,84.93273803,207.7845753,146.2584313,235.8247325,406.1994787,108.6756105,329.9357877,106.3774225,233.0913842,301.746536,257.1897722,173.9124092,117.1044603,282.46314,317.0774921,134.6093994,144.0543617,425.228889,132.8909443,187.882816,231.8000543,255.0428041,307.3155827,292.709626,279.8989765,145.7419112,177.7174469,183.9381686,294.3587184,150.7193019,186.3877219,231.8906762,129.022776,388.4835136,280.0651799,437.0922836,121.6781268,79.59520309,362.3212598,652.4069605,170.5619897,154.4678505,129.4631184,203.6475882,259.8806623,149.2172797,670.0745714,159.3093162,219.0606396,122.3344411,410.1250617,347.7624473,145.5614681,439.6746156,261.743795,150.9725117,399.608918,158.5474665,169.454688,531.9802598,376.4801657,294.7527403,251.5801366,372.7791948,175.0096199,199.6065465,170.1009204,193.3320415,125.5174259,145.8200264,261.6438873,596.4894196,283.1236456,130.8083826,361.8679166,169.399977,137.0886551,122.2340629,138.0659365,165.4453416,164.1820795,229.7065696,382.2067725,166.1796476,193.8455347,195.0299712,193.5846241,157.2135086,687.2400493,200.9671874,560.8342898,351.5377219,127.1962312,249.9151121,181.2349107,195.1074931,241.9694502,93.02823772,226.9157248,148.8983581,114.4457146,189.2828157,411.3905628,205.4973485,378.9759667,208.2694657,262.1633743,384.7759505,459.0066305,133.7386255,143.3834185,485.179755,214.2745286,354.7226979,172.5474941,198.9151837,219.5973961,213.2873372,170.9985483,165.5260567,189.8729723,237.4643632,454.9242931,309.9870909,150.7410771,313.7239804,249.647653,184.6788129,302.1399366,124.3964086,107.5666053,480.9147207,65.24983487,306.9777319,421.5795319,202.257005,145.6277926,188.5029597,146.9719221,129.0732804,245.4326044,458.4030696,213.2266241,163.8803212,238.4111351,166.6383731,237.5665838,262.7457499,188.4698176,298.2202408,526.4833433,278.4274254,377.083985,197.3565648,319.8230218,197.555452,76.3709232,196.5885225,539.3343545,206.5733482,194.1035188,212.2233547,225.2539365,418.3513558,203.2675812,206.6220607,154.1709374,163.3184864,306.7023989,237.4295035,255.8190852,126.1451747,138.6169226,142.6406863
1,Inflow,6,298.0267142,258.2448038,165.4918211,201.3161242,195.0132131,381.7425837,153.2022158,388.3494315,213.1087761,199.8364308,179.7370672,335.9767668,359.6923028,162.7760844,104.5311414,377.0262558,228.6993779,227.3569934,132.1290649,763.2702119,288.0014119,216.7667162,132.9022923,353.6140422,160.965506,139.1872192,134.2988336,170.1427064,289.5955743,208.1871407,374.8700124,107.2852949,283.7646934,101.8659846,122.2894367,237.3312022,357.5273373,135.876997,156.6771483,205.060004,180.1577731,119.6943266,131.477888,188.7099872,199.7876126,223.9229691,174.5928775,462.4942834,113.7906615,287.0769645,332.6266989,151.9666089,141.4824699,126.3621001,316.8488127,195.4391565,227.9004222,202.6059588,198.6216288,368.4923155,283.9180637,338.0403601,172.091075,56.49960064,221.071375,419.2879336,171.9444234,234.8816155,248.6786969,204.9535211,111.944431,121.7479874,324.4497126,145.1533225,185.1446532,115.6978365,499.3835804,278.681374,294.1717069,353.0666944,145.2945714,315.0098252,439.792577,165.5787726,152.5855927,333.25468,543.1871508,496.7436258,162.6317608,272.2428549,278.4816729,217.2808301,115.5671865,265.177243,285.7939034,129.8065173,122.8401513,399.8400638,336.5400853,137.8574527,330.7814343,130.3099147,214.2434569,230.1565933,319.3344151,164.6800316,222.4861614,129.9822417,573.3831007,185.6375608,127.4907776,281.5096621,149.5347697,165.2589298,433.3854572,437.2782006,538.7294025,199.4873541,159.5131237,473.2239033,175.5881572,280.4752553,168.7843629,83.67559374,219.3787438,133.0878872,149.6008093,257.0955311,365.4962729,219.5408346,418.4074977,252.1117649,315.9677164,213.8790809,459.9821651,166.2265396,210.5639539,349.711258,194.5177321,476.5049864,194.0397588,175.0307795,77.29683675,275.5944955,329.0703607,218.2073613,239.4706691,360.2877018,454.7734182,309.3132756,102.2024068,261.0286823,185.1976263,260.5524742,366.7681989,231.6730812,100.6944129,406.5079324,121.3240022,186.4037167,131.4575815,299.2779566,108.3623932,252.6952416,206.613898,145.0787779,233.3264303,331.1642668,249.5933674,230.5650289,246.3309592,195.7670777,305.3278942,366.6996833,161.8229502,202.4353417,302.5704062,270.7784307,259.1622889,142.9419361,429.4533904,218.8341672,94.97864208,265.2396692,358.9543192,265.1724947,205.2023645,200.559144,245.9790669,559.8748359,168.0311403,340.984622,189.8512255,230.9819115,244.50928,183.5336999,194.3536134,274.2734825,138.1504569,173.7122429
2,Inflow,4,472.9482437,616.6632171,114.3387351,291.4484729,260.3782067,281.6176289,229.5935709,1352.25329,321.7293358,352.0237308,169.3114327,829.70954,610.5006661,539.8975271,160.3392241,789.4937735,162.3240583,408.4012021,406.2903872,574.0997443,612.2410131,201.3620952,145.580079,171.7134601,307.375286,58.81797639,223.957076,339.8732832,212.1464982,253.7039855,514.9656697,251.445605,393.9019666,90.64250127,399.9927878,170.2981681,292.1427581,127.0505485,210.2501428,490.767205,361.4439802,169.0302038,231.3453897,956.3358625,97.56990638,228.911826,141.4606532,313.6022861,309.3192302,928.8524327,772.5797022,258.541001,144.7240371,310.4027468,287.3764439,169.2894008,439.4982688,487.9729158,326.7477991,739.3487425,687.1483533,379.0010907,112.3181765,123.6310112,304.5740629,605.3738863,371.2568797,152.7952947,163.4705234,298.8302162,598.3397105,266.2668624,1414.351774,163.9800615,332.2590281,252.3432481,705.2845125,190.6335687,43.67220347,821.5080857,195.5149646,172.5609941,523.663254,88.62621116,305.8714569,758.6315857,500.2419944,374.8653668,149.8209834,680.0317542,544.6626594,222.4067428,221.5067949,400.9628918,427.461863,348.1534632,1107.16256,600.2044224,442.9471742,331.3672452,372.7629378,215.1396516,209.7871713,377.2306352,192.1560274,185.4625369,328.1938372,285.5271489,891.0743848,294.6428582,344.9843332,555.0301475,279.9523132,287.3932037,613.3501841,190.7122528,1147.142467,734.5144267,176.4392918,431.299593,128.4747057,869.956019,243.8015481,281.7767385,265.3919551,558.2328743,187.5544781,492.0639738,1566.172392,146.1086022,273.656332,226.3153803,1154.770772,308.4094105,369.4990318,136.7386068,262.1550978,250.936038,206.8585777,709.4621243,470.4916125,144.6524612,614.8690609,381.8571098,236.2036698,170.6604579,633.9227596,763.4978419,569.2113962,560.9438725,603.2674639,1398.64031,179.8632242,232.5081296,584.9098907,375.5211776,292.905874,681.4369108,639.8104469,460.4439617,381.4428044,593.3827164,140.6369778,401.4946912,358.6438268,187.4672599,247.8874849,630.3730598,154.6616623,214.3905306,240.2817171,568.0067875,200.7675833,404.8160948,689.7159771,366.9745993,532.7019603,252.7105513,353.5042847,186.6715189,717.8839542,357.939014,86.7766638,213.4333538,2643.710968,488.0419321,564.1166772,608.3580853,350.2107326,722.2373769,355.6274209,210.1120986,311.5347262,709.934214,407.66594,632.7938697,681.821262,224.5942467,364.7730708,505.5985244
2,Inflow,5,201.9825445,70.11809029,201.3658242,212.0692915,384.1488348,339.8102723,297.9875339,253.9610776,255.678126,137.481767,474.742956,203.3809456,300.7160819,332.7246817,319.2109992,398.7756067,452.6436001,157.3625114,68.60033943,269.5748016,402.1138722,280.7789419,280.5836068,224.2445399,198.9265358,158.9582505,76.35615394,179.9622117,102.809628,416.823096,384.005826,111.7602729,346.9824479,166.7805375,255.637003,702.6064049,396.1479691,167.8452515,157.0542341,392.0828132,441.6179438,144.1914897,123.8620176,462.3211783,251.6089806,203.845773,364.3974932,286.6913789,235.2081245,300.3003806,197.590247,203.3480717,241.3959067,154.2351366,520.0064647,342.6298614,205.5321577,189.2104371,169.4331143,215.259034,197.4929875,495.6306047,144.7897992,193.1536799,402.2194511,814.3366706,272.0557198,142.9199504,131.2641814,319.4846332,329.551055,208.9206081,290.2968098,228.1174908,183.9270894,67.29460764,394.4419696,331.1586789,254.2897658,426.4830438,318.6561571,216.0779161,251.0394864,446.761185,106.9919169,521.9795918,200.9826171,392.4319404,305.966738,216.6139917,102.7333125,205.7319507,185.936999,228.0291783,87.95654271,221.8227078,252.5508964,640.0252616,237.3810891,84.43318159,362.7468264,156.6996355,146.714653,88.67657114,191.6478899,254.1804611,168.6533984,323.1437298,272.9725413,158.9181426,490.9839283,254.2502391,153.1644506,104.4592443,441.0487897,192.3310496,245.1424579,243.8754669,165.4210261,311.8109836,380.4108171,153.1802781,398.9159881,93.74755766,289.094034,111.277786,160.2666836,162.928919,202.8876511,420.2371755,526.8062955,203.0431816,71.80711608,457.8915222,371.0092226,298.9855733,163.2579898,603.7503897,234.2549075,331.159213,104.5206353,177.6555865,120.0634109,314.952564,188.3522443,186.4963984,199.9535029,140.2584489,318.3462379,235.9909825,116.0177002,212.9893243,444.9842134,373.5663731,258.7733011,177.1314531,104.6274796,385.027094,43.90992179,486.1934036,338.1881323,266.6745157,189.9988744,151.0907122,124.95657,255.7368674,309.6720241,451.5907414,294.798412,202.4662649,264.8255669,220.2875763,392.7991133,329.9934716,170.7311711,222.8172839,559.8142797,243.4513195,428.8700246,264.8529148,320.9544072,147.6886857,159.273019,343.0901149,621.5400645,184.0454475,141.7275282,142.1577112,163.1245779,390.9841321,268.0906123,259.5998205,200.6957672,180.6917122,230.0714359,190.8488792,289.8545784,248.6257829,117.6533351,155.8940627
2,Inflow,6,240.712741,361.3361443,236.1939266,198.5917534,163.633289,249.6289056,75.7979318,370.2850873,138.3652625,191.229103,134.2850894,249.4483359,294.0983587,189.6135254,105.0962794,248.6331892,213.7087375,272.541383,170.1429408,873.2377043,281.8043002,215.4588362,144.3236176,689.1349226,154.834476,165.141178,270.7034587,121.0564505,327.8651764,140.8953608,282.7078741,166.5773033,241.6892781,228.9425637,119.1892932,207.8221096,500.2075263,148.2690631,273.3106439,127.2355417,177.5671483,118.2767586,98.10729288,132.4862557,263.2559503,257.2010728,121.2509113,666.1670788,84.25269607,175.4524124,277.8385879,160.4638421,150.6481748,105.6655149,230.6648007,282.6289614,150.963309,171.0386408,238.4866252,264.5709005,218.0354529,231.0290669,212.6198465,66.35871202,233.2103519,197.7027266,206.9176343,243.4803406,362.6384827,173.5789831,87.62763,170.8867561,219.1614088,150.2313954,200.109615,126.6657041,321.2519376,222.8944826,320.1550059,183.8138089,141.7511524,315.3850741,384.129789,245.6764235,187.6251624,238.2617611,403.9937804,530.4352114,134.8650324,246.0749734,384.9815719,357.8241505,69.20735275,375.1885413,382.1580372,171.5995278,97.22599578,313.3595673,297.2415234,197.0156028,225.3596955,130.5450742,286.2040502,292.5869001,618.7846161,154.7713212,229.3160678,148.0285971,403.1477914,274.1312808,136.5693817,369.4490562,192.116662,183.5159285,163.5164152,417.5681518,340.2623188,135.2766629,152.6984098,452.6511495,148.4985277,344.1409947,143.0540037,117.1669639,243.8558382,188.0051822,220.0052608,412.1475978,292.8509746,207.9657902,389.9289886,252.25332,350.7607039,165.1437909,291.7017915,222.4800901,213.0545594,193.3331079,256.062462,257.698153,280.6250284,156.2247121,71.8790173,338.0692078,283.9616727,320.2861979,221.090338,300.2523694,310.8628146,327.4665595,92.77019833,188.2687857,110.7405264,205.644794,405.7292763,441.1651582,182.3199713,222.744314,154.198157,119.8941547,92.53759922,311.6167506,117.7316257,306.8742616,177.0580163,212.1812775,149.0132027,184.6596402,463.4549981,311.0101524,232.3402569,187.7333501,356.4464742,410.6308144,216.5863415,142.1402724,222.2214134,288.9519737,260.3073679,164.6571741,328.7201231,205.1253253,105.6670098,280.3274318,222.6390573,210.3225455,238.352458,205.0397014,157.8002357,587.918959,262.3732194,432.2398796,188.0597578,211.9545271,206.6600691,132.6563146,168.4652663,471.7837406,128.2101434,267.1394253
3,Inflow,4,340.3201686,331.571987,90.96252455,159.7387162,282.5065762,182.8504968,106.5037261,550.437869,283.0215181,198.6309874,128.9132963,363.6440366,287.1885648,239.3498408,164.1043606,235.4745704,135.1868589,156.096397,243.881405,262.6132042,306.9290506,139.480229,85.06037141,142.4831406,176.7400915,37.89215549,120.9550945,139.5626157,148.4313764,169.8462341,234.5609213,105.9607741,223.3915009,97.32729812,238.5817557,131.9081996,187.9196929,108.195762,140.4213324,199.8203917,249.7723237,117.085567,220.2968874,374.0602815,64.84347551,127.587634,189.9277782,215.6889676,191.9210884,352.3706385,445.9651852,157.4678431,82.1349287,195.3549594,156.4595733,75.19072973,208.8451654,201.5820221,358.7260901,387.9756717,261.5412402,223.684515,32.65623262,63.95866618,187.4753105,257.6464757,153.7363988,162.0493334,104.3418701,234.6060785,286.04587,229.41901,388.4942019,100.8761469,268.5287539,210.4370776,354.0963498,121.6222787,33.80156731,345.4435117,212.9496474,68.10309271,509.2161613,109.8926631,187.3165604,418.6057448,273.6292956,193.8404753,144.705374,331.0098871,340.9401949,173.3766412,229.3976617,270.0734619,326.3570837,120.0429703,343.120067,325.8704856,189.7477012,247.520707,138.2267486,148.5741828,139.8566534,210.5538286,143.4500857,172.9619405,227.2726324,184.751981,535.2280362,214.0183965,161.7625975,309.5616127,227.6544649,199.0906934,311.3209508,210.3262566,596.5817807,364.9318675,149.5881783,375.1244732,95.43159333,506.2821379,150.0409158,145.7200023,195.6831362,338.3931839,211.9829996,254.8572602,761.1485079,69.26667851,157.5472159,133.0842906,414.0681796,160.4091968,162.2480192,118.0526576,140.4067219,134.6235636,209.8837682,248.365667,232.1502942,129.8686197,291.5908731,365.084432,349.7205917,131.4320541,375.9775678,335.2404896,260.9405295,335.3503701,353.7425254,543.0356202,132.9972663,115.1684154,292.287792,242.4175333,138.7263059,253.8948841,239.1846722,283.8701326,358.3152551,199.7443511,151.403248,251.4305231,198.3162114,77.2271151,124.872901,253.9044673,112.7510532,103.7885292,111.3861315,263.9701475,90.51709434,220.2120653,358.7443084,201.9410873,172.3777612,157.9214029,182.9621202,140.1712786,248.1073478,249.6825008,64.9918053,115.6852266,603.7973162,243.1759419,222.5519254,376.0909384,220.0778833,275.1238653,135.2720031,180.6764214,166.0387377,300.9731295,278.6131686,332.0732319,286.055327,47.50024663,444.60134,280.3483639
